Genome	Genome_accession
MGYG000047669	ERZ865726
MGYG000166694	ERZ830793
MGYG000262390	ERZ876080
MGYG000001840	CABRQP01
MGYG000078901	ERZ833394
MGYG000234980	ERZ903172
MGYG000138628	ERZ968711
MGYG000179730	ERZ872125
MGYG000108383	ERZ931882
MGYG000199832	ERZ902122
MGYG000175287	ERZ966111
MGYG000235320	JRLM01
MGYG000028264	URZS01
MGYG000016324	ERZ931540
MGYG000000179	CABJCM02,QVEX01
MGYG000055501	JOSR01
MGYG000003955	CABUFO01
MGYG000230652	ERZ849468
MGYG000104242	ERZ871732
MGYG000192715	ERZ865920
MGYG000209311	ERZ985117
MGYG000277533	ERZ969881
MGYG000249632	ERZ905222
MGYG000274983	ERZ975715
MGYG000173209	ERZ879697
MGYG000061310	ERZ873289
MGYG000027052	ERZ839137
MGYG000055939	ERZ844329
MGYG000191846	JIWM01
MGYG000079506	ERZ898061
MGYG000010747	ERZ837072
MGYG000020784	ERZ986932
MGYG000084847	USDU01
MGYG000051668	ERZ865629
MGYG000111758	ERZ933791
MGYG000175529	ERZ1597656,ERZ975944
MGYG000088238	NNBY01
MGYG000130104	ERZ871946
MGYG000092262	ERZ949602
MGYG000249515	ERZ837508
MGYG000148156	ERZ837368
MGYG000082921	FTYB01
MGYG000095155	MISU01
MGYG000234292	ERZ935976
MGYG000230768	CURL01
MGYG000008546	ERZ983696
MGYG000230550	ERZ929327
MGYG000212012	ERZ974445
MGYG000269264	GCA_000156075.1
MGYG000144473	QRHH01
MGYG000030897	ERZ849734
MGYG000111214	ERZ849345
MGYG000054282	ERZ862214
MGYG000151872	ERZ876872
MGYG000169062	ERZ833603
MGYG000075723	ERZ846947
MGYG000165379	ERZ904709
MGYG000128649	ERZ902058
MGYG000282936	ERZ877646
MGYG000025439	ERZ849514
MGYG000252077	ERZ852209
MGYG000226519	ERZ850241
MGYG000215536	ERZ977710
MGYG000098866	ANWQ01
MGYG000071358	ERZ963464
MGYG000127829	ERZ867613
MGYG000163540	ERZ872096
MGYG000244329	ERZ871445
MGYG000221791	ERZ944595
MGYG000197977	ERZ847100
MGYG000254295	ERZ877900
MGYG000029446	ERZ930598
MGYG000128250	ERZ974126
MGYG000187181	ERZ979291
MGYG000025844	ERZ867902
MGYG000023050	ERZ973838
MGYG000059042	ERZ972961
MGYG000195528	ERZ863320
MGYG000002585	CABSHB01
MGYG000097034	ERZ968675
MGYG000211706	ERZ933001
MGYG000225067	ERZ878711
MGYG000111626	ERZ973129
MGYG000283681	ERZ959580
MGYG000164461	JEZL01
MGYG000225177	ERZ986591
MGYG000167093	PDXU01
MGYG000199475	ERZ974110
MGYG000049215	ERZ836063
MGYG000164815	ERZ983731
MGYG000106612	ERZ878184
MGYG000106614	ERZ840139
MGYG000218730	ERZ837862
MGYG000218869	ERZ975469
MGYG000121062	ERZ973161
MGYG000253290	ERZ951437
MGYG000049236	ERZ900890
MGYG000032552	ERZ862183
MGYG000278720	ERZ934526
MGYG000224090	ERZ944966
MGYG000224093	AQDM01
MGYG000184484	GCA_000010385.1
MGYG000003157	CABTBN01,USPH01
MGYG000087679	LOIP01
MGYG000053277	ERZ898804
MGYG000240753	URHJ01
MGYG000188209	ERZ863875
MGYG000258182	ERZ981460
MGYG000204496	ERZ973306
MGYG000250208	ERZ833389
MGYG000018961	ERZ829189
MGYG000246607	ERZ867151
MGYG000163943	ERZ851472
MGYG000133867	ERZ852376
MGYG000148216	CYBR01
MGYG000098549	ERZ829706
MGYG000021334	ERZ864341
MGYG000004845	CAJMRL01
MGYG000120194	ERZ970326
MGYG000234751	ERZ852032
MGYG000140536	ERZ845196
MGYG000043425	ERZ945231
MGYG000141153	ERZ839980
MGYG000068976	ERZ944955
MGYG000041973	ERZ971556
MGYG000061400	ERZ878796
MGYG000135583	ERZ978467
MGYG000032126	ERZ981446
MGYG000164863	ERZ833541
MGYG000262324	CWVN01
MGYG000127747	ERZ974738
MGYG000066268	ERZ986307
MGYG000120827	ERZ968827
MGYG000118658	ERZ860340
MGYG000170760	LOFN01
MGYG000015519	ERZ981534
MGYG000128772	ERZ931040
MGYG000106300	ERZ833412
MGYG000131185	ERZ933069
MGYG000005841	CAJLEK01
MGYG000257691	ERZ948776
MGYG000100503	ERZ847211
MGYG000261520	ERZ877634
MGYG000136124	ERZ868718
MGYG000063204	ERZ832470
MGYG000021604	ERZ872960
MGYG000046280	ERZ944210
MGYG000051423	ERZ906764
MGYG000241085	ERZ969017
MGYG000250254	ERZ935954
MGYG000225651	ANWK01
MGYG000059747	ERZ971124
MGYG000152299	ERZ961733
MGYG000167579	ERZ852055
MGYG000230699	ERZ859826
MGYG000243270	ERZ870879
MGYG000190330	ERZ980547
MGYG000116044	ERZ960640
MGYG000185658	ERZ896739
MGYG000238210	ERZ979931
MGYG000197496	ERZ895351
MGYG000202392	ERZ929115
MGYG000212584	ERZ934793
MGYG000095969	ERZ969695
MGYG000175381	ERZ962991
MGYG000032026	ERZ879623
MGYG000176373	ERZ945953
MGYG000128333	ERZ847872
MGYG000006069	CAJLXF01
MGYG000003162	CABTBZ01,USRG01
MGYG000041782	ERZ934151
MGYG000011319	ERZ863009
MGYG000227734	ERZ959759
MGYG000153408	ERZ934442
MGYG000190357	QUKW01
MGYG000007001	CAJLFX01
MGYG000271559	ERZ895452
MGYG000121720	ERZ832919
MGYG000064362	ABXW01
MGYG000121274	ERZ902206
MGYG000093051	ERZ873428
MGYG000024561	ERZ864481
MGYG000073188	ERZ976723
MGYG000041648	ERZ835661
MGYG000121296	ERZ971213
MGYG000224065	ERZ944495
MGYG000128463	ERZ861080
MGYG000035706	CAADTV01
MGYG000189130	CXAE01
MGYG000030269	ERZ927482
MGYG000282985	ERZ970151
MGYG000162177	ERZ976484
MGYG000000712	CABQMK01
MGYG000262882	ERZ831454
MGYG000219972	QSJJ01
MGYG000153955	ERZ846442
MGYG000192396	ERZ866857
MGYG000224464	ERZ950580
MGYG000111686	ERZ895450
MGYG000111142	ERZ832452
MGYG000272284	ERZ961303
MGYG000021142	ERZ987395
MGYG000207130	ERZ975140
MGYG000113102	ERZ863101
MGYG000152360	ERZ896353
MGYG000029697	ERZ872508
MGYG000113864	ERZ983023
MGYG000148679	ERZ869203
MGYG000081431	GCA_002007885.1
MGYG000070855	ERZ970869
MGYG000232414	ERZ983858
MGYG000214691	ERZ837139
MGYG000157952	ERZ966635
MGYG000114080	ERZ982685
MGYG000065152	ERZ902468
MGYG000218646	ERZ867957
MGYG000275811	ERZ876690
MGYG000139093	ERZ946381
MGYG000115342	ERZ946215
MGYG000220830	ERZ864921
MGYG000225099	GCA_003072445.1
MGYG000055610	JHTB01
MGYG000169053	ERZ852396
MGYG000237876	ERZ979778
MGYG000001986	CABRWB01
MGYG000281648	ERZ872355
MGYG000200355	ERZ877696,ERZ1566987
MGYG000241457	ERZ933251
MGYG000122024	ERZ871267
MGYG000030457	ERZ895340
MGYG000211247	ERZ850563
MGYG000037866	ERZ948949
MGYG000207266	ERZ849079
MGYG000027344	ERZ966228
MGYG000092106	CXKL01
MGYG000267232	ERZ951512
MGYG000050921	ERZ843503
MGYG000002144	CABSCH01
MGYG000276976	ERZ871008
MGYG000059710	ERZ934923
MGYG000194694	ERZ830877
MGYG000160023	ERZ902685
MGYG000046895	CXMG01
MGYG000042541	ERZ899862
MGYG000001001	UQFS01,CABQXF01
MGYG000107263	ERZ929150
MGYG000167645	ERZ951253
MGYG000006157	CAJJRL01
MGYG000050348	ERZ867064
MGYG000100817	CAAGCF01
MGYG000006287	CAJJVG01
MGYG000161807	ERZ839843
MGYG000271281	ERZ946002
MGYG000147982	ERZ878993
MGYG000074170	ERZ951065
MGYG000130809	ERZ902467
MGYG000240390	ERZ900745
MGYG000164755	ERZ906091
MGYG000219373	ERZ934518
MGYG000165964	ERZ933642
MGYG000132741	ERZ959359
MGYG000150189	JRZJ01
MGYG000215183	QTZF01
MGYG000103806	ERZ961005
MGYG000212738	ERZ837580
MGYG000145752	ERZ866641
MGYG000048591	ERZ929440
MGYG000023134	ERZ844633
MGYG000072081	ERZ963440
MGYG000191190	ERZ845162
MGYG000236983	ERZ933437
MGYG000071924	ERZ894733
MGYG000134233	ERZ968174
MGYG000046483	ERZ903450
MGYG000142142	ERZ838129
MGYG000043328	ERZ930237
MGYG000262295	ERZ860168
MGYG000015819	ERZ872496
MGYG000165076	ERZ962764
MGYG000255326	ERZ989294
MGYG000251002	ERZ865889
MGYG000061123	ERZ859773
MGYG000026243	ERZ986416
MGYG000248696	ERZ930250
MGYG000237828	ERZ829549
MGYG000128400	UQAD01
MGYG000048449	JPUU01
MGYG000280294	ERZ836153
MGYG000056746	ERZ842882
MGYG000191356	ERZ860934
MGYG000271751	ERZ979554
MGYG000273985	ERZ873668
MGYG000026042	ERZ835015
MGYG000125521	ERZ868530
MGYG000165143	ERZ947725
MGYG000202913	ERZ937514
MGYG000273244	ERZ848708
MGYG000104822	NJVI01
MGYG000130799	ERZ980022
MGYG000078416	ERZ870715
MGYG000102870	MITE01
MGYG000276794	ERZ836427
MGYG000195268	CUUW01
MGYG000226082	PHXH01
MGYG000177393	ERZ846257
MGYG000044967	ERZ934111
MGYG000119231	ERZ835591
MGYG000235830	ERZ905027
MGYG000058564	ERZ863518
MGYG000118532	ERZ988078
MGYG000110672	ERZ980688
MGYG000233947	ERZ959175
MGYG000092274	ERZ931761
MGYG000272090	ERZ943954
MGYG000165048	QTYG01
MGYG000052382	ERZ861660
MGYG000011592	ERZ830529
MGYG000287555	ERZ929621
MGYG000132085	ERZ927757
MGYG000240330	ERZ931117
MGYG000058671	ERZ901943
MGYG000240025	CZNM01
MGYG000123118	ERZ978338
MGYG000033381	ERZ975599
MGYG000034210	ERZ905844
MGYG000169477	ERZ896476
MGYG000075926	ERZ948625
MGYG000008556	ERZ968250
MGYG000046089	ERZ871916
MGYG000214716	ERZ989680
MGYG000235548	GCA_000233455.1
MGYG000274000	ERZ845081
MGYG000235904	ERZ877674
MGYG000215275	ERZ981725
MGYG000252184	ERZ936212
MGYG000266988	ERZ984646
MGYG000177571	ERZ966785
MGYG000001742	CABRNC01
MGYG000249856	ERZ860717
MGYG000222297	ERZ838983
MGYG000237409	ERZ973952
MGYG000073080	ERZ872333,ERZ1574325
MGYG000138510	ERZ984356
MGYG000260058	ERZ847509
MGYG000227825	ERZ963556
MGYG000241118	ERZ871738
MGYG000095514	MITI01
MGYG000133687	ERZ895470
MGYG000282910	ERZ968986
MGYG000037014	CWUT01
MGYG000250695	ERZ931989
MGYG000141611	ERZ944702
MGYG000104283	ERZ985884
MGYG000026361	GCA_000345445.2
MGYG000222239	CUKL01
MGYG000131671	ERZ900612
MGYG000037419	ERZ944694
MGYG000188197	CUJK01
MGYG000173668	ERZ945277
MGYG000113256	ERZ863195
MGYG000032899	ERZ931052
MGYG000280456	ERZ851984
MGYG000206657	ERZ932084
MGYG000079422	ERZ975211
MGYG000167913	ERZ879873
MGYG000058332	ERZ844764
MGYG000090291	ERZ931191
MGYG000004957	CAJMFJ01
MGYG000055804	ERZ835330
MGYG000201639	ERZ904314
MGYG000263405	QTUT01
MGYG000084864	ERZ899742
MGYG000119569	ERZ860119
MGYG000218783	ERZ838992
MGYG000018340	ERZ895536
MGYG000139738	ERZ875276
MGYG000214850	ERZ984350
MGYG000112726	ERZ879378
MGYG000117585	ERZ979720
MGYG000004054	CABUJH01
MGYG000020205	ERZ874370
MGYG000015112	ERZ932411
MGYG000230033	ERZ905395
MGYG000070739	ERZ975020
MGYG000178262	ERZ873432
MGYG000202616	ERZ972455
MGYG000207449	ERZ849518
MGYG000209646	ERZ933789
MGYG000133436	ERZ851628
MGYG000082071	ERZ984871
MGYG000184807	ERZ872280
MGYG000073292	ERZ851250
MGYG000005386	CAJJOV01
MGYG000209231	ERZ983605
MGYG000063042	ERZ967809
MGYG000128951	ERZ935525
MGYG000198051	ERZ895135
MGYG000038800	ERZ928793
MGYG000151537	ERZ833035
MGYG000149714	ERZ847101
MGYG000053316	ERZ936208
MGYG000056036	ERZ931799
MGYG000236095	ERZ972183
MGYG000084266	GCA_000210075.1
MGYG000125399	ERZ850306
MGYG000219315	ERZ907075
MGYG000242518	ADWT01
MGYG000191169	ERZ940290
MGYG000068491	ERZ949190
MGYG000109006	ERZ985432
MGYG000009577	ERZ873377
MGYG000211358	ERZ844762
MGYG000083226	ERZ985094
MGYG000223271	ERZ981396
MGYG000118804	ERZ879374
MGYG000128471	ERZ873062
MGYG000286592	ERZ834944
MGYG000046797	ERZ878990
MGYG000274823	ERZ931602
MGYG000019272	ERZ981026
MGYG000134610	ERZ969193
MGYG000185449	ERZ932454
MGYG000006317	CAJKEG01
MGYG000108394	ERZ969287
MGYG000241109	ERZ870242
MGYG000210869	ERZ948873
MGYG000000871	CABQSO01
MGYG000270453	ERZ829338
MGYG000214748	ERZ960539
MGYG000199745	ERZ873369
MGYG000002099	CABSAR01
MGYG000024915	ERZ850262
MGYG000060765	ERZ973556
MGYG000171510	ERZ971974
MGYG000106098	ERZ971137,ERZ1637740
MGYG000063865	ERZ861192
MGYG000054494	ERZ895458
MGYG000251351	ERZ927835
MGYG000202181	ERZ833988
MGYG000222778	ERZ896943
MGYG000056673	ERZ945914
MGYG000244453	ERZ901906
MGYG000183427	QSFI01
MGYG000007046	ERZ980978
MGYG000058580	ERZ832771
MGYG000225018	ERZ878876
MGYG000095762	CAAEUC01
MGYG000072560	ERZ861735
MGYG000225193	ERZ833314
MGYG000018313	ERZ970197
MGYG000176158	FTZO01
MGYG000087801	ERZ972250
MGYG000206656	ERZ866847
MGYG000274750	ERZ899896
MGYG000190607	ERZ975667
MGYG000022448	ERZ862924
MGYG000173103	ERZ945406
MGYG000051360	ANVM01
MGYG000105227	ERZ869594
MGYG000031569	ERZ982497
MGYG000111710	ERZ873956
MGYG000068314	ERZ950304
MGYG000193104	ERZ948738
MGYG000198215	ERZ937406
MGYG000055371	ERZ947891
MGYG000205299	ERZ981151
MGYG000019255	ERZ934092
MGYG000145769	ERZ867309
MGYG000189516	ERZ840101
MGYG000226346	ERZ899088
MGYG000061122	ERZ970309
MGYG000122090	ERZ837180
MGYG000242431	ERZ863964
MGYG000252995	ERZ867886
MGYG000073434	ERZ850794
MGYG000263615	ERZ899231
MGYG000122767	ERZ986599
MGYG000239183	ERZ951439
MGYG000270509	ERZ932924
MGYG000189515	ERZ931927
MGYG000001110	CABRBU01
MGYG000175510	ERZ968318
MGYG000053167	ERZ960124
MGYG000152292	ERZ849871
MGYG000008375	ERZ898535
MGYG000226788	ERZ962768
MGYG000243032	ERZ873463
MGYG000262888	ERZ869038
MGYG000090698	ERZ843903
MGYG000156844	ERZ903841
MGYG000262309	ERZ865761
MGYG000204285	ERZ959088
MGYG000281707	CXJQ01
MGYG000278447	ERZ974928
MGYG000190662	ERZ975520
MGYG000130406	FTYS01
MGYG000064361	URJI01
MGYG000278246	ERZ932020
MGYG000262269	ERZ982347
MGYG000075270	ERZ868153
MGYG000036517	ERZ902120
MGYG000057697	GCA_001516405.1
MGYG000133556	ERZ869789
MGYG000265242	ERZ986351
MGYG000083377	ERZ848856
MGYG000165706	ERZ970438
MGYG000128777	ERZ861518
MGYG000201130	ERZ987052
MGYG000171043	ERZ982491
MGYG000235396	ERZ949748
MGYG000282163	ERZ944314
MGYG000082744	ERZ850384
MGYG000042536	NOSN01
MGYG000026247	ERZ895765
MGYG000027673	ERZ902025
MGYG000217695	ERZ871199
MGYG000288627	ERZ900696
MGYG000233523	ERZ983354
MGYG000101736	ERZ863510
MGYG000275609	ERZ844678
MGYG000192286	ERZ862303
MGYG000254958	ERZ986409
MGYG000077524	QSPT01
MGYG000035057	ERZ930622
MGYG000285799	MZOF01
MGYG000036737	CXGP01
MGYG000105099	ERZ972573
MGYG000139881	MWHK01
MGYG000042788	ERZ962225
MGYG000105962	CXHM01
MGYG000042391	ERZ945456
MGYG000168051	ERZ878810
MGYG000229291	ERZ868755
MGYG000145007	ERZ873705
MGYG000183110	ERZ902747
MGYG000281972	NFQQ01
MGYG000213032	ERZ868713
MGYG000012353	ERZ984888
MGYG000154850	ERZ948134
MGYG000009339	ERZ931347
MGYG000239504	ERZ830461
MGYG000205485	ERZ868284
MGYG000218611	GCA_000238715.1
MGYG000122795	ERZ873642
MGYG000206038	ERZ830613
MGYG000259656	ERZ871996
MGYG000264616	ERZ986033
MGYG000085485	ERZ863999
MGYG000161155	ERZ960260
MGYG000216532	FAWI01
MGYG000184462	ERZ984982
MGYG000286740	ERZ875043
MGYG000007028	CAJLQR01
MGYG000210053	ERZ873634
MGYG000177346	ERZ845149
MGYG000000543	CABQFR01
MGYG000143483	ERZ946283
MGYG000268770	ERZ862914
MGYG000082476	ERZ831033
MGYG000133205	ERZ934689
MGYG000056956	ERZ967695
MGYG000023162	ERZ852206
MGYG000215490	ERZ829193
MGYG000107965	USNL01
MGYG000043296	ERZ934875
MGYG000005886	CAJJYQ01
MGYG000056005	ERZ871778
MGYG000060144	ERZ868929
MGYG000274539	ERZ930171
MGYG000080516	ERZ944567
MGYG000086873	ERZ875109
MGYG000003241	CAAFEC01,CABTEO01
MGYG000040029	ERZ945519
MGYG000142871	ERZ899439
MGYG000047648	ERZ944696
MGYG000288733	ERZ844296
MGYG000037699	JNPI01
MGYG000273740	ERZ835370
MGYG000142857	ERZ836599
MGYG000184243	ERZ875572
MGYG000010472	ERZ869262
MGYG000203329	ERZ846243
MGYG000268812	ERZ860897
MGYG000186832	ERZ862749
MGYG000129491	ERZ831107
MGYG000275596	ERZ870615
MGYG000013199	ERZ869588
MGYG000206544	ERZ842798
MGYG000276350	ERZ933265
MGYG000093773	ERZ927994
MGYG000258107	ERZ830055
MGYG000031597	ERZ833904
MGYG000281108	ERZ898860
MGYG000028522	ERZ847063
MGYG000171498	ERZ872952
MGYG000225144	ERZ969318
MGYG000048012	ERZ951123
MGYG000263023	ERZ836107
MGYG000169353	ERZ871426
MGYG000025178	ERZ835314
MGYG000121905	ERZ977258
MGYG000041290	ERZ970339
MGYG000212802	ERZ860823
MGYG000001181	CABREM01,CAAEWF01
MGYG000243607	ERZ967771
MGYG000258642	ERZ851058
MGYG000256411	ERZ969081
MGYG000255235	GCA_000345405.2
MGYG000176255	LOIX01
MGYG000202264	ERZ878633
MGYG000043632	ERZ945490
MGYG000110101	ERZ900140
MGYG000047565	ERZ863326
MGYG000168291	ERZ899869
MGYG000085877	ERZ846465
MGYG000082653	ERZ863240
MGYG000145013	ERZ975462
MGYG000207432	ERZ896483
MGYG000132604	MWFU01
MGYG000264078	ERZ901515
MGYG000039247	ERZ872618
MGYG000242391	ERZ829197
MGYG000208896	ERZ871401
MGYG000066611	ERZ860839
MGYG000170482	ERZ868851
MGYG000134551	ERZ832649
MGYG000037082	ERZ839839
MGYG000270853	ERZ982044
MGYG000181769	ERZ835738
MGYG000094078	ERZ845100
MGYG000210242	ERZ984582
MGYG000026091	URTP01
MGYG000177203	ERZ902591
MGYG000118764	GCA_003408595.1
MGYG000229001	ERZ945385
MGYG000173818	ERZ982236
MGYG000004534	CABVAH01
MGYG000125506	ERZ870675
MGYG000004723	CAJKSS01
MGYG000263992	ERZ979543
MGYG000000229	QUCZ01,CABJEE02
MGYG000026793	NRZM01
MGYG000077898	ERZ847483
MGYG000155491	ERZ902183
MGYG000168049	ERZ837333
MGYG000006382	CAJMLP01
MGYG000081393	ERZ901795
MGYG000136747	ERZ934064
MGYG000002303	QSTA01,CABMFR01
MGYG000191446	ERZ868114
MGYG000228059	ERZ973689
MGYG000163039	FMDV01
MGYG000213618	ERZ944170
MGYG000135794	ERZ982253
MGYG000252192	UQMA01
MGYG000213804	CWVA01
MGYG000057860	ERZ970090
MGYG000174425	ERZ868359
MGYG000238443	CAAEZY01
MGYG000178746	ERZ987467
MGYG000006256	CAJKZT01
MGYG000235643	ERZ835172
MGYG000187845	ERZ846865
MGYG000060739	ERZ976512
MGYG000056629	ERZ950502
MGYG000086738	ERZ966675
MGYG000123119	NSAU01
MGYG000118982	ERZ965947
MGYG000132208	ERZ896437
MGYG000101868	ERZ849277
MGYG000019699	ERZ972460
MGYG000119735	AKNI01
MGYG000276041	ERZ946013
MGYG000118405	ERZ861138
MGYG000195646	MPEY01
MGYG000109464	ERZ974592
MGYG000227197	ERZ973017
MGYG000274652	ERZ970824,ERZ1595996
MGYG000096813	ERZ876566
MGYG000027028	ERZ872397
MGYG000172196	ERZ847854
MGYG000100106	ERZ869503
MGYG000235168	ERZ968242
MGYG000133542	ERZ980038
MGYG000005455	CAJMFI01
MGYG000038784	ERZ868147
MGYG000186334	ERZ940349
MGYG000134632	ERZ871326
MGYG000142772	ERZ971687
MGYG000025776	ERZ859774
MGYG000058936	ERZ844497
MGYG000160216	ERZ835233
MGYG000230168	ERZ976750
MGYG000125657	ERZ833198
MGYG000003700	CABOGX01,QSPG01
MGYG000076133	ERZ976295
MGYG000072848	ERZ850054
MGYG000246503	ERZ934779
MGYG000003710	CABTWD01
MGYG000024433	ERZ850047
MGYG000180659	MLDY01
MGYG000075351	ERZ879674
MGYG000145052	ERZ980211
MGYG000043879	ERZ961110
MGYG000117035	ERZ839748
MGYG000264494	ERZ848140
MGYG000209283	ERZ901961
MGYG000242778	ERZ968377
MGYG000035838	ERZ981737
MGYG000285076	ERZ903203
MGYG000031114	ERZ906920
MGYG000205040	ERZ959747
MGYG000008480	MWHW01
MGYG000088474	CAAGHL01
MGYG000039884	CAADTA01
MGYG000181574	ERZ937749
MGYG000001176	CABRDY01
MGYG000105856	ERZ965839
MGYG000200220	ERZ935607
MGYG000071507	ERZ983840
MGYG000256865	ERZ875322
MGYG000187499	ERZ988188
MGYG000011059	UDSH01
MGYG000114339	ERZ866054
MGYG000129041	ERZ950870
MGYG000230705	ERZ966784
MGYG000176928	JZXG01
MGYG000190371	ERZ846592
MGYG000262120	ERZ982679
MGYG000124654	ERZ950354
MGYG000042252	ERZ850381
MGYG000001646	CABVEV01
MGYG000003892	CABUDD01
MGYG000208162	ERZ867288
MGYG000140682	ERZ902241
MGYG000005496	CAJJPR01
MGYG000091816	ERZ963608
MGYG000120848	ERZ983798
MGYG000230813	ERZ901182
MGYG000102974	ERZ969935
MGYG000168043	ERZ987584
MGYG000117270	ERZ966303
MGYG000011262	ERZ849510
MGYG000270734	ERZ988199
MGYG000061648	AKNE01
MGYG000010165	ERZ930236
MGYG000125103	ERZ895320
MGYG000040551	ERZ851354
MGYG000104637	ERZ933476
MGYG000021581	ERZ944775
MGYG000153486	ERZ969543
MGYG000000162	QSAN01,CABJCB02
MGYG000089669	ERZ861898
MGYG000261142	ERZ936815
MGYG000162031	ERZ977793
MGYG000243240	ERZ837419
MGYG000017696	ERZ984908
MGYG000266697	ERZ837575
MGYG000278196	ERZ988201
MGYG000182425	ERZ879485
MGYG000266580	ERZ838407
MGYG000007463	ERZ928741
MGYG000039271	JEYT01
MGYG000073992	ERZ927637
MGYG000249386	ERZ829429
MGYG000149233	ERZ868257
MGYG000205517	ERZ901343
MGYG000042726	ERZ972719
MGYG000244094	ERZ868556
MGYG000010958	ERZ865403
MGYG000056888	CAADYL01
MGYG000214821	ERZ837277
MGYG000099058	ERZ929633
MGYG000075705	ERZ970512
MGYG000020581	ERZ868883
MGYG000079604	ERZ869320
MGYG000200535	ERZ874709
MGYG000134778	ERZ905135
MGYG000002014	CABRXK01
MGYG000125496	ERZ967355
MGYG000055326	ERZ978080
MGYG000191031	ERZ962551
MGYG000268273	ERZ970263
MGYG000200915	ERZ987623
MGYG000163469	ERZ906115
MGYG000257164	ERZ928319
MGYG000062539	ERZ982207
MGYG000033223	ERZ906491
MGYG000007557	ERZ865668
MGYG000063130	ERZ985928
MGYG000077789	ERZ834297
MGYG000119568	ERZ852137
MGYG000222588	ERZ902009
MGYG000201390	ERZ944981
MGYG000178068	ERZ834789
MGYG000111481	QTUU01
MGYG000259073	ERZ974433
MGYG000005422	CAJLEY01
MGYG000199897	ERZ844527
MGYG000114614	ERZ961391
MGYG000275470	ERZ959815
MGYG000153466	ERZ837481
MGYG000262033	ERZ933159
MGYG000184574	ERZ929184
MGYG000036280	ERZ970305
MGYG000178739	ERZ935964
MGYG000212189	ERZ977493
MGYG000216112	PDAN01
MGYG000025963	ERZ862258
MGYG000139030	ERZ966421
MGYG000181326	UDQU01
MGYG000226727	ERZ834493
MGYG000000210	CABJDJ02,QROQ01
MGYG000241004	ERZ850888
MGYG000022811	CAAGPO01
MGYG000268507	ERZ950123
MGYG000046587	ERZ979805
MGYG000194880	ERZ871967
MGYG000173727	ERZ844526
MGYG000183584	ERZ871320
MGYG000002222	CABSEW01
MGYG000275462	ERZ906516
MGYG000288513	ERZ842724
MGYG000164810	CAAEEO01
MGYG000105473	ERZ866854
MGYG000212516	ERZ870332
MGYG000190853	ERZ843127
MGYG000226968	ERZ935771
MGYG000080654	ERZ984310
MGYG000123286	ERZ868655
MGYG000109227	JNMW01
MGYG000024581	ERZ833887
MGYG000262926	ERZ976095
MGYG000005107	CAJLKP01
MGYG000247391	ERZ931576
MGYG000007443	ERZ987505
MGYG000145228	ERZ845053
MGYG000174413	ERZ958697
MGYG000003353	CABTSY01
MGYG000014924	ERZ833879
MGYG000245185	ERZ844857
MGYG000168604	ERZ845079
MGYG000166209	ERZ902720
MGYG000036420	ERZ960163
MGYG000095591	ERZ979623
MGYG000174311	ERZ846046
MGYG000054865	ERZ844767
MGYG000178950	ERZ959691
MGYG000244151	FMGR01
MGYG000035405	ERZ1573396,ERZ871395
MGYG000080750	ERZ967621
MGYG000240035	ERZ970672
MGYG000114549	ERZ870962
MGYG000276606	ERZ850048
MGYG000279000	ERZ970837
MGYG000001728	CABRMO01
MGYG000275363	ERZ839178
MGYG000191285	ERZ904685
MGYG000148618	ERZ974408
MGYG000134542	ERZ877625
MGYG000022631	ERZ871595
MGYG000103703	ERZ850247
MGYG000253426	ERZ877991
MGYG000163242	ERZ950624
MGYG000107127	ERZ976494
MGYG000180534	ERZ974697
MGYG000037003	ERZ929366
MGYG000230643	JNQD01
MGYG000124029	ERZ980836
MGYG000153391	ERZ975779
MGYG000052594	ERZ927120
MGYG000228348	ERZ832388
MGYG000180743	ERZ861265
MGYG000004476	CABUXZ01
MGYG000220369	ERZ899072
MGYG000209667	PQUM01
MGYG000105469	ERZ842808
MGYG000285247	ERZ978836
MGYG000268725	ERZ978626
MGYG000218342	ERZ934584
MGYG000223158	ERZ944634
MGYG000157189	ERZ929126
MGYG000243422	ERZ980052
MGYG000149424	ERZ975476
MGYG000093471	ERZ878145
MGYG000233493	ERZ959589
MGYG000051604	ERZ932008
MGYG000021151	ERZ864023
MGYG000163060	CAAGJP01
MGYG000066194	ERZ838538
MGYG000173319	ERZ985994
MGYG000111946	ERZ980859
MGYG000217261	CZAN01
MGYG000085743	CAAEOU01
MGYG000265875	ERZ960540
MGYG000082039	ERZ904788
MGYG000182496	URIX01
MGYG000099122	ERZ967187
MGYG000003285	CABTGL01,CAAFHC01
MGYG000033139	CAADSO01
MGYG000212058	ERZ965974
MGYG000065414	ERZ872299
MGYG000287373	ERZ962493
MGYG000116701	ERZ862613
MGYG000160715	ERZ832809
MGYG000122863	ERZ837831
MGYG000205893	ERZ976633
MGYG000014584	ERZ844515
MGYG000023303	ERZ975113
MGYG000042940	ERZ977848
MGYG000115133	ERZ960231
MGYG000128541	ERZ974092
MGYG000060786	ERZ945075
MGYG000216820	ERZ927145
MGYG000255876	ERZ935347
MGYG000094755	ERZ985549
MGYG000153045	ERZ866552
MGYG000277637	ERZ986168
MGYG000018245	ERZ966055
MGYG000139873	ERZ985795
MGYG000219103	ERZ860057
MGYG000001915	CABRTN01
MGYG000194346	ERZ976699
MGYG000232689	ERZ948213
MGYG000138815	ERZ932030
MGYG000125204	ERZ984044
