Genome	Genome_accession
MGYG000005052	GCA_009159505
MGYG000005053	CAJKIN01
MGYG000005054	CAJLKN01
MGYG000005055	GCA_009677475
MGYG000005056	CAJKTA01
MGYG000005057	CAJLGB01
MGYG000005058	CAJJKX01
MGYG000005059	GCA_009077915
MGYG000005060	CAJMAQ01
MGYG000005061	CAJKLO01
MGYG000005062	CAJJIZ01
MGYG000005063	CAJLMR01
MGYG000005064	CAJLUJ01
MGYG000005065	CAJLDQ01
MGYG000005067	CAJJMY01
MGYG000005068	CAJJMB01
MGYG000005069	CAJMRK01
MGYG000005070	CAJKDK01
MGYG000005071	CAJKDM01
MGYG000005072	CAJKEZ01
MGYG000005073	CAJKNY01
MGYG000005074	CAJMCL01
MGYG000005075	CAJKLY01
MGYG000005076	CAJKIL01
MGYG000005077	CAJLMZ01
MGYG000005078	CAJJNS01
MGYG000005079	CAJKYN01
MGYG000005080	CAJLRA01
MGYG000005081	CAJMLM01
MGYG000005082	CAJMOF01
MGYG000005083	CAJLJO01
MGYG000005084	CAJJTA01
MGYG000005085	CAJKTP01
MGYG000005086	CAJKZP01
MGYG000005087	GCA_009715645
MGYG000005088	CAJJVC01
MGYG000005089	CAJLMJ01
MGYG000005091	CAJLQH01
MGYG000005092	GCA_009877615
MGYG000005093	CAJMAA01
MGYG000005094	CAJKPE01
MGYG000005095	CAJJYX01
MGYG000005096	CAJLKB01
MGYG000005097	CAJMET01
MGYG000005098	CAJKVF01
MGYG000005100	CAJJRT01
MGYG000005101	CAJMBM01
MGYG000005102	CAJMAN01
MGYG000005103	CAJMPO01
MGYG000005104	CAJJRZ01
MGYG000005105	CAJKVN01
MGYG000005106	CAJKLP01
MGYG000005107	CAJLKP01
MGYG000005108	CAJKUW01
MGYG000005109	CAJKXV01
MGYG000005110	CAJJNG01
MGYG000005111	CAJKCO01
MGYG000005113	CAJKTY01
MGYG000005114	CAJKWD01
MGYG000005115	CAJKRS01
MGYG000005116	CAJJKP01
MGYG000005117	GCA_009158255
MGYG000005118	GCA_009093795
MGYG000005121	CAJKYJ01
MGYG000005122	CAJKQB01
MGYG000005123	CAJMAB01
MGYG000005124	CAJLKC01
MGYG000005126	CADFJN01
MGYG000005127	GCA_009875715
MGYG000005128	CAJJKJ01
MGYG000005129	CAJKNG01
MGYG000005130	CAJMHI01
MGYG000005131	CAJKNQ01
MGYG000005132	CAJLPF01
MGYG000005133	CAJMQK01
MGYG000005134	CAJKRR01
MGYG000005135	CAJKZK01
